ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,52409,1,202402170233,2,0,6,4,0,4675,52.5,9.98,2.06,38.1,61,657,654,656,655,656,655,645,655,508,404,291,301,214,197,90,11
D250,S,600,34,MW,0300,4600,03,01,52409,2,202403062013,2,0,6,4,0,5106,52.5,9.99,2.01,37.55,59,655,655,657,655,656,655,645,656,516,438,298,301,208,194,92,14
D250,S,600,34,MW,0300,4600,03,01,52517,1,202403062312,2,0,6,4,0,5198,52.5,9.99,2.01,37.96,59,658,655,657,655,656,655,652,655,514,418,295,301,205,193,95,14
D250,S,600,34,MW,0300,4600,03,01,52517,2,202403070220,2,0,6,4,0,5473,52.5,9.95,2.05,38.22,59,656,655,656,655,655,655,652,656,513,406,293,301,207,189,94,13
D250,S,600,34,MW,0300,4600,03,01,52519,1,202403070528,2,0,6,4,0,5448,52.5,9.94,2.05,37.79,59,657,655,657,655,655,655,651,656,513,403,293,301,206,191,94,12
D250,S,600,34,MW,0300,4600,03,01,52520,1,202403070915,2,0,6,4,0,5185,52.5,9.99,2.05,37.04,59,657,655,657,654,654,655,651,655,512,403,292,301,205,196,96,12
D250,S,600,34,MW,0300,4600,03,01,52518,21,202403071338,2,0,6,4,0,4471,52.5,9.95,2.01,38.03,59,658,655,657,654,656,655,653,656,512,403,291,302,200,195,95,14
D250,S,600,34,MW,0300,4600,91,07,52410,1,202403071612,2,0,6,4,0,1849,52.5,9.91,2.02,38.46,59,656,655,657,654,654,655,658,656,514,403,291,301,208,194,93,14
D250,S,600,34,MW,0300,4600,03,01,52519,2,202403072022,2,0,6,4,0,5435,52.5,9.97,2.07,38.47,59,657,655,657,654,655,655,654,656,514,404,291,301,208,193,98,14
D250,S,600,34,MW,0300,4600,03,01,52518,22,202403072307,2,0,6,4,0,4417,52.5,9.97,2.06,37.6,59,657,655,657,655,654,655,651,656,513,403,292,301,205,193,96,15
