Angle,DRValue,,,é¸îgêî [mm^-1],é¸ä˙ [mm],DRValue [um]_amp
9.2,-0.506,,369,1.025071185,0.975542005,0.002965511
9.225,-0.498,,370,1.027849156,0.972905405,0.010849801
9.25,-0.48,,371,1.030627127,0.970283019,0.005585458
9.275,-0.45,,372,1.033405098,0.967674731,0.006251726
9.3,-0.418,,373,1.036183068,0.965080429,0.007006664
9.325,-0.383,,374,1.038961039,0.9625,0.012420281
9.35,-0.335,,375,1.04173901,0.959933333,0.007907223
9.375,-0.277,,376,1.04451698,0.957380319,0.019516895
9.4,-0.199,,377,1.047294951,0.954840849,0.022888536
9.425,-0.129,,378,1.050072922,0.952314815,0.015710286
9.45,-0.053,,379,1.052850892,0.949802111,0.010633405
9.475,0.05,,380,1.055628863,0.947302632,0.002554746
9.5,0.152,,381,1.058406834,0.944816273,0.010570516
9.525,0.262,,382,1.061184805,0.942342932,0.009891675
9.55,0.348,,383,1.063962775,0.939882507,0.006627657
9.575,0.44,,384,1.066740746,0.937434896,0.015584915
9.6,0.522,,385,1.069518717,0.935,0.002621982
9.625,0.581,,386,1.072296687,0.93257772,0.012227247
9.65,0.621,,387,1.075074658,0.930167959,0.008989215
9.675,0.649,,388,1.077852629,0.927770619,0.002928519
9.7,0.653,,389,1.080630599,0.925385604,0.001204736
9.725,0.637,,390,1.08340857,0.923012821,0.004762772
9.75,0.601,,391,1.086186541,0.920652174,0.001877812
9.775,0.546,,392,1.088964511,0.918303571,0.002196254
9.8,0.48,,393,1.091742482,0.915966921,0.007137139
9.825,0.414,,394,1.094520453,0.913642132,0.001028663
9.85,0.35,,395,1.097298424,0.911329114,0.002972939
9.875,0.28,,396,1.100076394,0.909027778,0.005243468
9.9,0.21,,397,1.102854365,0.906738035,0.005287836
9.925,0.165,,398,1.105632336,0.904459799,0.002549134
9.95,0.137,,399,1.108410306,0.902192982,0.010161919
9.975,0.117,,400,1.111188277,0.8999375,0.010386051
10,0.117,,401,1.113966248,0.897693267,0.000684067
10.025,0.125,,402,1.116744218,0.895460199,0.007441101
10.05,0.143,,403,1.119522189,0.893238213,0.003155886
10.075,0.17,,404,1.12230016,0.891027228,0.004818236
10.1,0.2,,405,1.12507813,0.88882716,0.010295745
10.125,0.222,,406,1.127856101,0.886637931,0.007489314
10.15,0.248,,407,1.130634072,0.884459459,0.004830066
10.175,0.268,,408,1.133412043,0.882291667,0.006515413
10.2,0.282,,409,1.136190013,0.880134474,0.006034476
10.225,0.287,,410,1.138967984,0.877987805,0.009630019
10.25,0.279,,411,1.141745955,0.875851582,0.005678246
10.275,0.267,,412,1.144523925,0.873725728,0.007447999
10.3,0.241,,413,1.147301896,0.871610169,0.004019751
10.325,0.211,,414,1.150079867,0.869504831,0.006720219
10.35,0.181,,415,1.152857837,0.867409639,0.001988485
10.375,0.14,,416,1.155635808,0.865324519,0.011146833
10.4,0.102,,417,1.158413779,0.8632494,0.005275813
10.425,0.066,,418,1.161191749,0.861184211,0.001751776
10.45,0.026,,419,1.16396972,0.859128878,0.009621841
10.475,-0.018,,420,1.166747691,0.857083333,0.004567567
10.5,-0.052,,421,1.169525662,0.855047506,0.004506659
10.525,-0.085,,422,1.172303632,0.853021327,0.005385671
10.55,-0.121,,423,1.175081603,0.851004728,0.007630776
10.575,-0.163,,424,1.177859574,0.848997642,0.011836146
10.6,-0.205,,425,1.180637544,0.847,0.012725612
10.625,-0.237,,426,1.183415515,0.845011737,0.009565654
10.65,-0.283,,427,1.186193486,0.843032787,0.014820895
10.675,-0.328,,428,1.188971456,0.841063084,0.006487869
10.7,-0.374,,429,1.191749427,0.839102564,0.016919394
10.725,-0.422,,430,1.194527398,0.837151163,0.014212398
10.75,-0.464,,431,1.197305368,0.835208817,0.026209758
10.775,-0.512,,432,1.200083339,0.833275463,0.020968627
10.8,-0.554,,433,1.20286131,0.831351039,0.022842483
10.825,-0.599,,434,1.205639281,0.829435484,0.03546158
10.85,-0.631,,435,1.208417251,0.827528736,0.021968853
10.875,-0.669,,436,1.211195222,0.825630734,0.019725746
10.9,-0.705,,437,1.213973193,0.823741419,0.016122859
10.925,-0.727,,438,1.216751163,0.821860731,0.037474925
10.95,-0.749,,439,1.219529134,0.81998861,0.006498227
10.975,-0.764,,440,1.222307105,0.818125,0.02570859
11,-0.78,,441,1.225085075,0.816269841,0.02881984
11.025,-0.788,,442,1.227863046,0.814423077,0.008747948
11.05,-0.788,,443,1.230641017,0.81258465,0.01180023
11.075,-0.784,,444,1.233418987,0.810754505,0.006121318
